TotalCumulativeChikungunayaCases,DateGDT,Mexico,BajaCalifornia,DistritoFederal,Jalisco,Estado,Morelos,Nuevo,Oaxaca,Quintana Roo,Sonora,Tamaulipas,Veracruz,Yucatan,Chiapas,Colima,Nayarit,Sinaloa,Tabasco
0,1/5/2014,0.147,0.07,0.198,0.022,0.113,0.199,0.037,0.195,0.259,0.03,0.062,0.04,0.124,0.143,0.201,0.072,0.337,0.072
0,1/12/2014,0.136,0.07,0.134,0.024,0.097,0.181,0.042,0.174,0.241,0.032,0.081,0.042,0.12,0.118,0.203,0.065,0.305,0.07
0,1/19/2014,0.147,0.07,0.138,0.031,0.081,0.231,0.039,0.183,0.25,0.038,0.079,0.039,0.108,0.105,0.22,0.058,0.333,0.071
0,1/26/2014,0.144,0.058,0.127,0.028,0.065,0.265,0.037,0.2,0.255,0.035,0.066,0.042,0.143,0.1,0.205,0.055,0.336,0.076
0,2/2/2014,0.133,0.052,0.102,0.026,0.065,0.225,0.035,0.195,0.309,0.03,0.063,0.038,0.147,0.103,0.201,0.053,0.289,0.081
0,2/9/2014,0.128,0.047,0.117,0.027,0.065,0.215,0.034,0.17,0.257,0.025,0.067,0.026,0.146,0.113,0.188,0.054,0.234,0.082
0,2/16/2014,0.124,0.041,0.117,0.019,0.065,0.241,0.035,0.15,0.242,0.025,0.07,0.036,0.133,0.115,0.188,0.058,0.217,0.07
0,2/23/2014,0.114,0.041,0.092,0.019,0.065,0.185,0.032,0.141,0.224,0.019,0.071,0.038,0.153,0.115,0.184,0.056,0.186,0.06
0,3/2/2014,0.109,0.035,0.099,0.017,0.065,0.192,0.029,0.142,0.203,0.018,0.059,0.043,0.112,0.11,0.179,0.052,0.166,0.062
0,3/9/2014,0.108,0.035,0.085,0.012,0.065,0.188,0.032,0.147,0.189,0.022,0.065,0.051,0.095,0.126,0.177,0.048,0.157,0.072
0,3/16/2014,0.103,0.035,0.106,0.009,0.065,0.218,0.033,0.147,0.164,0.019,0.069,0.041,0.092,0.131,0.175,0.045,0.144,0.078
0,3/23/2014,0.102,0.035,0.095,0.012,0.097,0.192,0.029,0.142,0.145,0.02,0.06,0.046,0.083,0.111,0.181,0.043,0.137,0.072
0,3/30/2014,0.103,0.035,0.12,0.014,0.113,0.17,0.031,0.138,0.146,0.02,0.057,0.05,0.079,0.123,0.168,0.044,0.117,0.068
0,4/6/2014,0.128,0.035,0.194,0.015,0.242,0.168,0.042,0.139,0.15,0.019,0.058,0.058,0.092,0.144,0.165,0.048,0.128,0.06
0,4/13/2014,0.089,0.035,0.117,0.011,0.194,0.138,0.037,0.129,0.135,0.018,0.056,0.03,0.085,0.136,0.155,0.044,0.109,0.053
784,4/20/2014,0.112,0.041,0.184,0.014,0.145,0.158,0.035,0.13,0.135,0.025,0.058,0.034,0.074,0.156,0.151,0.044,0.112,0.049
