HOUSING,THICKNESS,OVERRUN,STRENGTH
CAGE,0.47,495,36.9
CAGE,0.43,462,39.2
CAGE,0.38,488,40.2
CAGE,0.47,471,33
CAGE,0.44,471,39
CAGE,0.4,502,36.6
CAGE,0.41,472,37.5
CAGE,0.45,474,38.1
CAGE,0.41,492,37.8
CAGE,0.37,479,34.9
FREE,0.55,520,31.5
FREE,0.5,531,39.7
FREE,0.47,513,37.8
FREE,0.48,510,33.5
FREE,0.51,521,39.9
FREE,0.5,510,40.6
BARN,0.49,515,40
BARN,0.5,516,37.6
BARN,0.51,514,39.6
BARN,0.48,526,40.3
BARN,0.52,501,38.3
BARN,0.5,508,40.2
ORGANIC,0.43,530,34.5
ORGANIC,0.49,544,36.8
ORGANIC,0.52,531,32.6
ORGANIC,0.49,532,38.5
ORGANIC,0.52,511,40.2
ORGANIC,0.44,527,33.2
